"University of California, Riverside",UC Riverside is the nation’s leader for social mobility with a diverse & inclusive community pioneering research with impacts around the globe.,https://www.ucr.edu/
Privacy Statement," Last Revision Date: — May 5, 2023   Privacy Stance  The University of California (UC) system and the University of California, Riverside (UCR) respects the privacy of individuals. Privacy plays an important role in human dignity and is necessary for an ethical and respectful workplace. The right to privacy is declared in the California Constitution. Thus, the University continually strives for an appropriate balance between:",https://www.ucr.edu/privacy.html
Terms and Conditions of Use,"Please Read These Terms and Conditions of Use Carefully Before Using This Site By using this site and all other registered UCR web sites, referred to as ""these sites"", you agree to these terms of use. If you do not agree to these terms of use, please do not use this site.",https://www.ucr.edu/terms.html
Giving,"Make a gift to UC Riverside! An education changes everything. As part of your charitable donations, you can support the education of students at America’s most transformational public university.",https://giving.ucr.edu/
First Year,UC Riverside is ready to help you turn your passion into purpose. Our award-winning faculty will mentor you. Our diverse campus community will embrace you. And our first-year-specific resources will help you build your future!,https://admissions.ucr.edu/firstyear
Out-of-State,"UCR believes that out-of-state students add an important and valuable depth to our campus. Our award-winning faculty will mentor you. Our diverse campus community will embrace you. And our dedicated resources will help you build your future! Sunny Southern California invites you to make the University of California, Riverside your home away from home.",https://admissions.ucr.edu/out-of-state
SIR Today!,This page will be the new launch for the My.UCR.edu log-in.  ,https://iam.ucr.edu/sir
Frequently Asked Questions,"Frequently asked questions about the application process and admission to UCR can be found here, along with helpful answers that explain the different stages and important components of becoming and being a UCR student. Find answers now!",https://admissions.ucr.edu/myucr
Underground Scholars Initiative,"Riverside Underground Scholars Building a Prison-to-University Pipeline   Riverside Underground Scholars (RUS) is an academic support program for incarcerated, formerly incarcerated, and system-impacted students. In addition, it creates a pathway for incarcerated, formerly incarcerated, and system-impacted individuals into higher education by building a prison-to-school pipeline through recruitment, retention, and advocacy.   We directly challenge the stigmas associated with our community.",https://diversity.ucr.edu/underground-scholars-initiative
Ways to Give,"With your support, UC Riverside can continue its upward momentum, improving education an",https://giving.ucr.edu/ways-give
Get Involved, ,https://diversity.ucr.edu/get-involved
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https: